FPauth-strategies|FPauth-strategies.1.0.0|conf-libargon2|no|Strategies to be used with FPauth-core authentication system
GT|GT.0.5.4|conf-m4|no|Generic programming with extensible transformations
General|General.0.7.0|conf-npm|no|Rich functionality for built-in and basic OCaml types
aacplus|aacplus.0.2.2|conf-pkg-config|yes|synopsis:
aarch64-esperanto|aarch64-esperanto.0.0.6|conf-which|no|An OCaml compiler with Cosmopolitan
acp4|acp4.1.1.0|conf-gnuplot,conf-rdkit|no|ACP4: AutoCorrelation of Pharmacophore Features
acpc|acpc.2.0.0|conf-autoconf,conf-gnuplot|no|Chemoinformatics tool for ligand-based virtual screening
advi|advi.2.0.0|conf-ghostscript,conf-texlive,conf-which|no|Active DVI Dune package!
ahrocksdb|ahrocksdb.0.2.2|conf-rocksdb|no|A binding to RocksDB
albatross|albatross.2.4.1|conf-libnl3,conf-pkg-config|yes|Albatross - orchestrate and manage MirageOS unikernels with Solo5
alcotest-js|alcotest-js.1.9.0|conf-npm|no|synopsis:
allegro5|allegro5.0.2|conf-allegro5|no|OCaml Allegro 5
alsa|alsa.0.3.0|conf-alsa,conf-pkg-config|no|synopsis:
alt-ergo-free|alt-ergo-free.2.2.0|conf-autoconf,conf-gtksourceview|no|Alt-Ergo, an SMT Solver for Software Verification
altgr-ergo|altgr-ergo.2.4.3|conf-gtksourceview3|no|The GUI for the Alt-Ergo SMT prover
ao|ao.0.2.4|conf-ao,conf-pkg-config|no|synopsis:
apron|apron.v0.9.15|conf-perl,conf-ppl|no|APRON numerical abstract domain library
async_ssl|async_ssl.v0.17.0-1|conf-libssl|no|An Async-pipe-based interface with OpenSSL
atdpy|atdpy.2.16.0|conf-python-3|no|Python/mypy code generation for ATD APIs
augeas|augeas.0.6|conf-pkg-config|yes|Bindings to the Augeas configuration editing tool
bap-cxxfilt|bap-cxxfilt.2.5.0|conf-binutils|no|A demangler that relies on a c++filt utility
bap-ida-python|bap-ida-python.2.3.0|conf-ida|no|A BAP - IDA Pro integration library
bap-ida|bap-ida.2.3.0|conf-ida|no|An IDA Pro integration library
bap-llvm|bap-llvm.2.5.0|conf-bap-llvm,conf-env-travis|yes|BAP LLVM backend
bap-objdump|bap-objdump.2.5.0|conf-binutils|no|Extract symbols from binary, using binutils objdump
bap-radare2|bap-radare2.2.5.0|conf-radare2|no|Extract symbols from binary using radare2
bap-std|bap-std.2.5.0|conf-binutils,conf-clang,conf-gmp,conf-m4,conf-perl,conf-which,conf-zlib|no|The Binary Analysis Platform Standard Library
batsat|batsat.0.7|conf-rust-2018|no|OCaml bindings for batsat, a SAT solver in rust
beluga|beluga.1.1.2|conf-timeout|no|synopsis:
bigarray-overlap|bigarray-overlap.0.2.1|conf-pkg-config|no|Bigarray.overlap
bimage-display|bimage-display.0.6.0|conf-glew|no|"
bimage-io|bimage-io.0.6.0|conf-openimageio|no|"
binaryen-bin|binaryen-bin.119|conf-c++,conf-cmake,conf-ninja|no|Compiler and toolchain infrastructure library for WebAssembly
bitwuzla-bin|bitwuzla-bin.1.0.0|conf-cmake,conf-g++,conf-gcc,conf-git,conf-gmp|no|Bitwuzla SMT solver executable
bitwuzla-c|bitwuzla-c.1.0.5|conf-g++,conf-gcc,conf-git,conf-gmp|no|SMT solver for AUFBVFP (C API)
bitwuzla-cxx|bitwuzla-cxx.0.6.1|conf-g++,conf-gcc,conf-git|no|SMT solver for AUFBVFP (C++ API)
bjack|bjack.0.1.6|conf-jack,conf-pkg-config,conf-samplerate|no|synopsis:
blake3|blake3.0.3|conf-rust|no|Blake3 cryptography
bls12-381-legacy|bls12-381-legacy.0.4.4|conf-rust|no|synopsis:
bogue-tutorials|bogue-tutorials.0.2.0|conf-perl|no|Bogue Tutorials
broken|broken.0.4.2|conf-bmake,conf-cpio|no|The Broken package is a simple testsuite framework.
brotli|brotli.1.3.0|conf-brotli|no|Bindings to Google's Brotli compresion algorithm
bsdowl|bsdowl.3.0.0-20150830|conf-bmake|no|This collection of BSD Make directives aims at providing a highly
bytesrw|bytesrw.0.1.0|conf-libblake3,conf-libmd,conf-xxhash,conf-zlib,conf-zstd|no|Composable byte stream readers and writers for OCaml
bz2|bz2.0.8.0|conf-libbz2|no|CamlBZ2 OCaml bindings for the libbz2
cairo2-gtk|cairo2-gtk.0.6.5|conf-cairo,conf-pkg-config|no|Rendering Cairo on Gtk2 canvas
cairo2-pango|cairo2-pango.0.6.5|conf-cairo,conf-pkg-config|no|Interface between Cairo and Pango (for Gtk2)
cairo2|cairo2.0.6.5|conf-cairo,conf-freetype|no|Binding to Cairo, a 2D Vector Graphics Library
caisar|caisar.2.1|conf-python-3,conf-texlive|no|synopsis:
caml-mode|caml-mode.4.9|conf-emacs|no|Caml mode for GNU Emacs
camlbz2|camlbz2.0.7.0|conf-aclocal,conf-autoconf,conf-libbz2|no|Bindings for bzip2
camlimages|camlimages.5.0.5|conf-freetype,conf-ghostscript,conf-libgif,conf-libjpeg,conf-libpng|no|Image processing library
camlkit-base|camlkit-base.0.3.0|conf-clang,conf-gnustep-base,conf-libobjc2|no|OCaml bindings to the Objective-C runtime and some base frameworks
camlkit-gui|camlkit-gui.0.3.0|conf-gnustep-gui|no|OCaml bindings to AppKit and other gui frameworks
camlp5-buildscripts|camlp5-buildscripts.0.06|conf-diffutils,conf-perl-ipc-system-simple,conf-perl-string-shellquote|no|Camlp5 Build scripts (written in OCaml)
camlp5|camlp5.8.03.04|conf-bash,conf-diffutils,conf-perl|no|Preprocessor-pretty-printer of OCaml
camltc|camltc.0.9.8|conf-bash|no|OCaml bindings for tokyo cabinet
camlzip|camlzip.1.13|conf-zlib|no|synopsis:
caper|caper.0.9|conf-m4|no|A tool for understanding and processing pcap (packet capture) expressions
capnp-rpc-net|capnp-rpc-net.2.1|conf-capnproto|no|synopsis:
capnp-rpc|capnp-rpc.2.1|conf-capnproto|no|synopsis:
capnp|capnp.3.6.0|conf-capnproto|no|synopsis:
catala|catala.0.10.0|conf-diffutils,conf-ninja,conf-npm,conf-pandoc,conf-python-3-dev|yes|synopsis:
certify|certify.0.3.3|conf-openssl|no|CLI utilities for simple X509 certificate manipulation
cfstream|cfstream.1.3.2|conf-m4|no|Stream operations in the style of Core's API
chacha|chacha.1.1.0|conf-pkg-config|no|The Chacha functions, in OCaml
clangml|clangml.4.8.0|conf-libclang,conf-ncurses,conf-zlib|no|OCaml bindings for Clang API
class_group_vdf|class_group_vdf.0.0.5|conf-g++,conf-gmp,conf-pkg-config|no|Verifiable Delay Functions bindings to Chia's VDF
coccinelle|coccinelle.1.3.0|conf-aclocal,conf-autoconf,conf-pkg-config,conf-python-3,conf-python-3-dev|no|Coccinelle is a C source code matching and transformation engine
cohttp-lwt-jsoo|cohttp-lwt-jsoo.6.1.0|conf-npm|no|CoHTTP implementation for the Js_of_ocaml JavaScript compiler
comby|comby.1.7.0|conf-autoconf,conf-gmp,conf-libev,conf-libpcre,conf-m4,conf-pkg-config,conf-sqlite3,conf-zlib|no|A tool for structural code search and replace that supports ~every language
compsort|compsort.0.9.2|conf-gmp|no|Reorder files in an archive to improve its compression
configuration|configuration.0.4.1|conf-bmake|no|Analyse configuration files
