ceph|ceph.20240106|clib:stdc,clib:cephfs|depexts=yes|Bindings to libcephfs
corecount|corecount.1.0.0|clib:stdc|depexts=no|Get count of cores on machine
ezdl|ezdl.2.71.15|clib:stdc,clib:camlidl|depexts=no|Easy dynamic linking of C functions from ocaml
freetds|freetds.0.7|clib:ct,clib:sybdb|depexts=yes|Binding to the FreeTDS library
grib|grib.0.11.0|clib:png,clib:openjpeg,clib:m,clib:jpeg,clib:jasper,clib:grib|depexts=yes|Bindings for the ECMWF GRIB API
hdfs|hdfs.0.4|clib:hdfs|depexts=no|Bindings to libhdfs
javascriptcore|javascriptcore.0.0.1|clib:javascriptcoregtk,clib:c|depexts=yes|OCaml bindings to JavaScriptCore
jemalloc|jemalloc.0.2|clib:jemalloc|depexts=yes|Bindings to jemalloc mallctl api
libssh|libssh.0.1|clib:ssh|depexts=yes|Bindings to libssh
lmdb|lmdb.1.0|clib:lmdb|depexts=yes|Bindings for LMDB, a fast in-file database with ACID transactions
mesh-triangle|mesh-triangle.0.9.5|clib:triangle|depexts=no|Binding to the triangle mesh generator
mindstorm-lwt|mindstorm-lwt.0.8.1|clib:usb,clib:bluetooth|depexts=no|Drive Lego Mindstorms bricks from OCaml (LWT version)
posix-clock|posix-clock.0.4.0-0|clib:rt|depexts=no|POSIX clock
posix-math|posix-math.0.3.1-0|clib:lm|depexts=no|POSIX math
posix-mqueue|posix-mqueue.0.8.0-0|clib:rt|depexts=no|POSIX message queues
posix-semaphore|posix-semaphore.0.5.0-0|clib:rt|depexts=no|POSIX semaphore
proj4|proj4.0.9.2|clib:proj,clib:m|depexts=yes|Bindings to the PROJ.4 projection library
qbf|qbf.0.3|clib:quantor,clib:qdpll,clib:picosat|depexts=no|QBF solving in OCaml, including bindings to solvers
