conf-allegro5|conf-allegro5.1|pkgcfg=yes|deb=|brew=allegro|Virtual package relying on Allegro 5 development libraries
conf-alsa|conf-alsa.1|pkgcfg=yes|deb=libasound2-dev|brew=|Virtual package relying on alsa
conf-antic|conf-antic.1|pkgcfg=no|deb=libantic-dev|brew=|Virtual package relying on a Antic lib system installation
conf-ao|conf-ao.1|pkgcfg=yes|deb=libao-dev|brew=libao|Virtual package relying on libao
conf-arb|conf-arb.1|pkgcfg=no|deb=libflint-arb-dev|brew=|Virtual package relying on a Arb lib system installation
conf-assimp|conf-assimp.1|pkgcfg=no|deb=assimp-utils|brew=assimp|Check if assimp (Open Asset Import Library) is installed
conf-automake|conf-automake.1|pkgcfg=no|deb=|brew=|Virtual package relying on GNU automake
conf-bap-llvm|conf-bap-llvm.1.8|pkgcfg=no|deb=|brew=llvm@9|Checks that supported version of LLVM is installed
conf-bison|conf-bison.2|pkgcfg=no|deb=|brew=bison|Virtual package relying on GNU bison
conf-blas|conf-blas.1|pkgcfg=no|deb=libblas-dev|brew=|Virtual package for BLAS configuration
conf-bluetooth|conf-bluetooth.1|pkgcfg=no|deb=libbluetooth-dev|brew=|Virtual package for Bluetooth library
conf-bmake|conf-bmake.1.0|pkgcfg=no|deb=bmake|brew=bmake|Virtual package relying on a BSD Make compatible program
conf-boost|conf-boost.1|pkgcfg=no|deb=libboost-dev|brew=boost|Virtual package relying on boost
conf-brotli|conf-brotli.0.0.1|pkgcfg=yes|deb=libbrotli-dev|brew=brotli|Virtual package relying on a brotli system installation
conf-cairo|conf-cairo.1|pkgcfg=yes|deb=libcairo2-dev|brew=|Virtual package relying on a Cairo system installation
conf-calcium|conf-calcium.1|pkgcfg=no|deb=libcalcium-dev|brew=|Virtual package relying on a Calcium lib system installation
conf-capnproto|conf-capnproto.2|pkgcfg=no|deb=capnproto|brew=capnp|Virtual package relying on captnproto installation
conf-dbm|conf-dbm.1.0.0|pkgcfg=no|deb=libgdbm-dev|brew=|Virtual package relying on gdbm
conf-dssi|conf-dssi.1|pkgcfg=no|deb=dssi-dev|brew=drfill/liquidsoap/libdssi|Virtual package relying on dssi
conf-efl|conf-efl.1.8|pkgcfg=yes|deb=libefl-all-dev|brew=efl|Virtual package relying on the EFL system installation
conf-expat|conf-expat.1|pkgcfg=yes|deb=libexpat1-dev|brew=expat|Virtual package relying on an expat system installation
conf-faad|conf-faad.1|pkgcfg=yes|deb=libfaad-dev|brew=faad2|Virtual package relying on libfaad
conf-fdkaac|conf-fdkaac.1|pkgcfg=yes|deb=libfdk-aac-dev|brew=fdk-aac|Virtual package relying on fdk-aac
conf-ffmpeg|conf-ffmpeg.1|pkgcfg=yes|deb=libavutil-dev|brew=ffmpeg|Virtual package relying on FFmpeg
conf-fftw3|conf-fftw3.1|pkgcfg=yes|deb=libfftw3-dev|brew=fftw|Virtual package relying on a FFTW3 lib system installation
conf-flex|conf-flex.2|pkgcfg=no|deb=|brew=flex|Virtual package relying on GNU flex
conf-flint|conf-flint.3.0|pkgcfg=no|deb=|brew=|Virtual package relying on a Flint lib system installation
