conf-aclocal|conf-aclocal.2|no|no|Virtual package relying on aclocal
conf-adwaita-icon-theme|conf-adwaita-icon-theme.2|yes|yes|Virtual package relying on adwaita-icon-theme
conf-age|conf-age.1|no|yes|Virtual package relying on age
conf-allegro5|conf-allegro5.1|yes|yes|Virtual package relying on Allegro 5 development libraries
conf-alsa|conf-alsa.1|yes|yes|Virtual package relying on alsa
conf-antic|conf-antic.1|no|yes|Virtual package relying on a Antic lib system installation
conf-ao|conf-ao.1|yes|yes|Virtual package relying on libao
conf-arb|conf-arb.1|no|yes|Virtual package relying on a Arb lib system installation
conf-asciidoc|conf-asciidoc.1|no|yes|Virtual package relying on asciidoc
conf-assimp|conf-assimp.1|no|yes|Check if assimp (Open Asset Import Library) is installed
conf-autoconf|conf-autoconf.0.2|no|yes|Virtual package relying on autoconf installation
conf-automake|conf-automake.1|no|yes|Virtual package relying on GNU automake
conf-bap-llvm|conf-bap-llvm.1.8|no|yes|Checks that supported version of LLVM is installed
conf-bash|conf-bash.1|no|yes|Virtual package to install the Bash shell
conf-binutils|conf-binutils.0.3|no|yes|Checks that binutils are installed
conf-bison|conf-bison.2|no|yes|Virtual package relying on GNU bison
conf-blas|conf-blas.1|no|yes|Virtual package for BLAS configuration
conf-bluetooth|conf-bluetooth.1|no|yes|Virtual package for Bluetooth library
conf-bmake|conf-bmake.1.0|no|yes|Virtual package relying on a BSD Make compatible program
conf-boost|conf-boost.1|no|yes|Virtual package relying on boost
conf-bpftool|conf-bpftool.0.1.0|no|yes|Virtual package for system installation of bpftool
conf-brotli|conf-brotli.0.0.1|yes|yes|Virtual package relying on a brotli system installation
conf-c++|conf-c++.1.0|no|yes|Virtual package relying on the c++ compiler
conf-cairo|conf-cairo.1|yes|yes|Virtual package relying on a Cairo system installation
conf-calcium|conf-calcium.1|no|yes|Virtual package relying on a Calcium lib system installation
conf-capnproto|conf-capnproto.2|no|yes|Virtual package relying on captnproto installation
conf-clang|conf-clang.1|no|yes|Virtual package relying on clang
conf-clang-format|conf-clang-format.1|no|yes|Virtual package relying on clang-format
conf-cmake|conf-cmake.1|no|yes|Virtual package relying on cmake
conf-cosmopolitan|conf-cosmopolitan.1|no|no|Virtual package relying on APE/Cosmopolitan
conf-cpio|conf-cpio.1|no|yes|Virtual package relying on cpio
conf-csdp|conf-csdp.1|no|yes|Virtual package relying on a CSDP binary system installation
conf-cuda|conf-cuda.1|no|no|Virtual package relying on a CUDA system installation
conf-cuda-config|conf-cuda-config.1|no|no|Preparatory steps for the conf-cuda package
conf-dbm|conf-dbm.1.0.0|no|yes|Virtual package relying on gdbm
conf-diffutils|conf-diffutils.2|no|yes|Virtual package relying on diffutils
conf-dkml-cross-toolchain|conf-dkml-cross-toolchain.4.12.1|no|no|Add findlib toolchains for all installed DKML cross-compilers
conf-dpkg|conf-dpkg.1|no|yes|Virtual package relying on dpkg
conf-dssi|conf-dssi.1|no|yes|Virtual package relying on dssi
conf-efl|conf-efl.1.8|yes|yes|Virtual package relying on the EFL system installation
conf-emacs|conf-emacs.1|no|yes|Virtual package to install the Emacs editor
conf-env-travis|conf-env-travis.1|no|no|Detect Travis CI and lift its environment to opam
conf-expat|conf-expat.1|yes|yes|Virtual package relying on an expat system installation
conf-faad|conf-faad.1|yes|yes|Virtual package relying on libfaad
conf-fdkaac|conf-fdkaac.1|yes|yes|Virtual package relying on fdk-aac
conf-ffmpeg|conf-ffmpeg.1|yes|yes|Virtual package relying on FFmpeg
conf-fftw3|conf-fftw3.1|yes|yes|Virtual package relying on a FFTW3 lib system installation
conf-findutils|conf-findutils.1|no|yes|Virtual package relying on findutils
conf-flex|conf-flex.2|no|yes|Virtual package relying on GNU flex
conf-flint|conf-flint.3.0|no|yes|Virtual package relying on a Flint lib system installation
conf-freeglut|conf-freeglut.1|yes|yes|Virtual package relying on a FreeGLUT system installation
conf-freetype|conf-freetype.1|yes|yes|Virtual package relying on a freetype lib system installation
conf-frei0r|conf-frei0r.1|yes|yes|Virtual package relying on frei0r
conf-fswatch|conf-fswatch.11-0.1.3|no|yes|Virtual package relying on libfswatch installation
conf-ftgl|conf-ftgl.1|yes|yes|Virtual package relying on an ftgl system installation
conf-fts|conf-fts.1|no|yes|Virtual package relying on the fts.h header
conf-g++|conf-g++.1.0|no|yes|Virtual package relying on the g++ compiler (for C++)
conf-gcc|conf-gcc.1.0|no|yes|Virtual package relying on the gcc compiler (for C)
